date,n_stocks,daily_pearson_ic,daily_spearman_ic,split
2019-01-03,934,0.29725256596819716,0.32844864664647866,validation
2019-01-04,936,0.0995772887131709,0.10796035513514882,validation
2019-01-07,934,0.27132597941864134,0.2979832866615036,validation
2019-01-08,933,0.1525286818211888,0.21960108251903318,validation
2019-01-09,933,-0.20623474304698702,-0.28257950262969234,validation
2019-01-10,934,-0.10582399535622049,-0.1281785496094343,validation
2019-01-11,939,-0.041812665439348855,-0.0645618671102199,validation
2019-01-14,936,0.1447099656302171,0.2119902239769602,validation
2019-01-15,928,-0.15839598530821247,-0.13729109968462708,validation
2019-01-16,920,-0.13428877526237148,-0.13625110375698007,validation
2019-01-17,915,0.31007388249436757,0.3600561231850369,validation
2019-01-18,915,0.050506849114831824,0.09540381822421484,validation
2019-01-22,907,0.13134889393376892,0.18968489726169216,validation
2019-01-23,879,0.11674994416551622,0.1310562380112091,validation
2019-01-24,867,0.33019696138761095,0.3257144926764595,validation
2019-01-25,887,-0.11644156866044382,-0.11455390797847968,validation
2019-01-28,889,0.03608080695077434,0.05607756021965167,validation
2019-01-29,866,0.24505685610777178,0.2712859088736028,validation
2019-01-30,812,0.18117430434044673,0.1866940218771965,validation
2019-01-31,814,-0.0321356376807196,-0.01848615220603657,validation
2019-02-01,855,0.0614478902207639,0.10718469962365844,validation
2019-02-04,873,0.08112687324223154,0.07932403769279954,validation
2019-02-05,865,0.08710347131925546,0.11993777726501949,validation
2019-02-06,818,-0.13719844141572612,-0.1746431799016883,validation
2019-02-07,819,-0.24269461253770266,-0.16583582752001147,validation
2019-02-08,846,0.16039894990293538,0.18232258517912323,validation
2019-02-11,874,0.265413546155838,0.30124164093915784,validation
2019-02-12,887,0.2900693195472699,0.33253521699656324,validation
2019-02-13,838,-0.21144411739030458,-0.21046912076661067,validation
2019-02-14,844,0.20149875106250184,0.2703927811667033,validation
2019-02-15,860,0.054509319830920736,0.03216341079221116,validation
2019-02-19,894,0.04698479039390099,0.10806886573770282,validation
2019-02-20,868,-0.01610556829007862,-0.02676898856173701,validation
2019-02-21,849,0.10920274447807389,0.10055906690214117,validation
2019-02-22,863,0.1702567960796634,0.21141190774887234,validation
2019-02-25,881,-0.16160041166524658,-0.1801495507271094,validation
2019-02-26,883,-0.07675252737610803,-0.018729202602346246,validation
2019-02-27,867,0.039433088743772375,0.007297403807800412,validation
2019-02-28,867,0.15403672295497453,0.2161590087595889,validation
2019-03-01,916,0.10135050246994412,0.06486933795593998,validation
2019-03-04,938,0.03056498819393867,0.09953405824439507,validation
2019-03-05,952,-0.04771667816399627,-0.01371222032745124,validation
2019-03-06,948,-0.06618960575988601,-0.12364410203869247,validation
2019-03-07,950,-0.31394206762088067,-0.3316797478804219,validation
2019-03-08,958,0.14300412232143958,0.19580002332120888,validation
2019-03-11,962,0.18298211142969636,0.2239212430932144,validation
2019-03-12,967,0.2809645450608362,0.2927988523752729,validation
2019-03-13,964,0.0419292610901895,0.019394822572479743,validation
2019-03-14,963,0.05586265545986872,0.05773019078363562,validation
2019-03-15,961,-0.017284799134031373,-0.00391267054553981,validation
2019-03-18,969,0.13589277818326737,0.14603965360669843,validation
2019-03-19,968,-0.0043679226807733385,-0.025824254074892826,validation
2019-03-20,965,-0.05279668701882843,-0.14067987372060203,validation
2019-03-21,965,-0.1918605089879515,-0.22426207507959797,validation
2019-03-22,969,0.04710250423441999,-0.008664384713937103,validation
2019-03-25,969,0.38550044339419065,0.46658415545730725,validation
2019-03-26,967,0.07094015119076179,0.08779519989120561,validation
2019-03-27,962,0.12516144848093633,0.13856413340812884,validation
2019-03-28,964,0.09205450264066778,0.12634235090516316,validation
2019-03-29,966,0.1616071862981778,0.1396775900682066,validation
2019-04-01,971,-0.007432755375134675,-0.007587105933473623,validation
2019-04-02,974,0.08433738915708612,0.05688777171084689,validation
2019-04-03,972,-0.010154668428271832,0.001980547296425342,validation
2019-04-04,972,0.1336692392713287,0.21951186589192606,validation
2019-04-05,972,0.008072726929055798,0.021047659298366293,validation
2019-04-08,975,-0.2528804258193124,-0.2974224805987025,validation
2019-04-09,971,0.0760394680812453,0.06835237134490249,validation
2019-04-10,969,-0.06350293541239121,-0.0030741215396629783,validation
2019-04-11,966,0.11448475334514548,0.08006677961495143,validation
2019-04-12,963,0.03264416994539401,0.029807104835393665,validation
2019-04-15,950,0.26086175856865196,0.3223233444110908,validation
2019-04-16,938,0.15015980249224345,0.18844224983549,validation
2019-04-17,908,0.01105839298794705,0.07433837562440246,validation
2019-04-18,899,-0.023456812736068314,-0.1441731720639091,validation
2019-04-22,876,-0.03778500195543752,-0.045369691756692934,validation
2019-04-23,857,0.08471586084266647,0.10192064225209307,validation
2019-04-24,788,0.19914885004547267,0.17594838270195787,validation
2019-04-25,772,-0.1626959518793813,-0.15896706230159416,validation
2019-04-26,818,0.07682391694628309,0.10906515782587468,validation
2019-04-29,840,-0.051363975864325805,-0.02738530376136927,validation
2019-04-30,821,0.0548045861780258,0.09708822465827881,validation
2019-05-01,748,-0.032971562524397764,-0.05188042933080661,validation
2019-05-02,753,0.21919678030423237,0.2511837825173104,validation
2019-05-03,822,-0.10992976693961974,-0.08175953071526582,validation
2019-05-06,867,-0.21690439091470168,-0.23334798149354685,validation
2019-05-07,893,-0.09390340585016568,-0.12967263808155338,validation
2019-05-08,868,-0.20231436902375421,-0.265241509051971,validation
2019-05-09,895,-0.05520167359645667,-0.11977694020833612,validation
2019-05-10,929,-0.23570747420779853,-0.270109467783991,validation
2019-05-13,956,0.3675129475182808,0.38334977277721,validation
2019-05-14,968,-0.47350166508935165,-0.5370267689408164,validation
2019-05-15,965,-0.013232277548134495,0.1135698648974113,validation
2019-05-16,966,-0.3363379958644035,-0.3635263871862151,validation
2019-05-17,967,-0.4710314387053114,-0.49504456077225006,validation
2019-05-20,967,0.38651220959570554,0.4265871636707014,validation
2019-05-21,961,-0.31036778798299725,-0.264633581918523,validation
2019-05-22,951,-0.4308209118410843,-0.4559660107482017,validation
2019-05-23,950,0.3917974666601755,0.4716988921767154,validation
2019-05-24,959,0.12227412128973698,0.10067707724931974,validation
2019-05-28,962,-0.24564092910378646,-0.29048525207958137,validation
2019-05-29,960,-0.03397511834716189,0.018216206968738168,validation
2019-05-30,949,-0.3938954348355215,-0.42923004672584975,validation
2019-05-31,950,-0.0039290021142528485,-0.0936981202119103,validation
2019-06-03,956,0.4516271940310514,0.5181760085291774,validation
2019-06-04,962,0.2609137941971292,0.2435322292369793,validation
2019-06-05,957,0.07236980649968364,0.1003650577440634,validation
2019-06-06,958,0.06722413212914363,0.12361187754123733,validation
2019-06-07,959,-0.24109380861380572,-0.2539139940907643,validation
2019-06-10,961,-0.06525485874641512,-0.1211949524061284,validation
2019-06-11,963,0.004498543248304262,0.002129149175071098,validation
2019-06-12,961,0.16957041327918415,0.19227583753052888,validation
2019-06-13,962,0.03585094697090034,0.09097199300477801,validation
2019-06-14,962,0.0732915183925858,0.07140591039530303,validation
2019-06-17,961,0.225124932645291,0.23236009507420038,validation
2019-06-18,957,0.039922971619698655,0.02953896426365647,validation
2019-06-19,952,0.1463724303978712,0.14747205439060565,validation
2019-06-20,953,0.08903553420471301,0.11747447070221842,validation
2019-06-21,958,-0.010788452250881828,-0.005163866601433855,validation
2019-06-24,964,0.03711765540680084,0.008774071919487236,validation
2019-06-25,965,0.07022138797200661,0.07054987367575939,validation
2019-06-26,961,0.18405108532219946,0.23177794418405492,validation
2019-06-27,960,0.0224449731989662,0.03943638079256968,validation
2019-06-28,968,0.3221869836291367,0.3334855566382181,validation
2019-07-01,976,-0.0721337865530706,-0.1539804719986297,validation
2019-07-02,978,0.1056344059569865,0.056410804716452934,validation
2019-07-03,977,0.008415252702078348,-0.008267988722192778,validation
2019-07-05,978,-0.32391455366510813,-0.38664738645752234,validation
2019-07-08,978,-0.23417206591197798,-0.29141795238706397,validation
2019-07-09,974,0.22794399619796793,0.26814927029650054,validation
2019-07-10,973,0.09078912985186258,0.11560480466023988,validation
2019-07-11,975,0.07271544860209077,0.12413540369762233,validation
2019-07-12,977,0.015493084974882295,0.07529206971297522,validation
2019-07-15,969,-0.06758650518707159,0.021565305128972957,validation
2019-07-16,953,-0.06289479618460316,-0.08994461915476368,validation
2019-07-17,925,-0.037848126521071335,-0.009264796032339328,validation
2019-07-18,913,0.2523842921958705,0.2847923605548421,validation
2019-07-19,922,0.1290133283969753,0.07817113535017851,validation
2019-07-22,913,0.10546598164343417,0.12665192469549055,validation
2019-07-23,877,0.016999144862759816,0.009839336481460731,validation
2019-07-24,811,-0.03310523215564803,-0.0928772187086441,validation
2019-07-25,796,0.11362808227236701,0.1427931440184504,validation
2019-07-26,845,0.07983885724282094,0.037218974614239314,validation
2019-07-29,847,0.019263726396718382,0.018818575168380283,validation
2019-07-30,832,0.12094483333151837,0.07753950506455042,validation
2019-07-31,741,0.09951603275688856,0.15376488983000383,validation
2019-08-01,760,-0.07243472145805488,-0.08043540944451791,validation
2019-08-02,815,-0.46582667950332346,-0.47835757743469465,validation
2019-08-05,868,0.49696467451130766,0.5105890166797503,validation
2019-08-06,885,-0.22051972556278482,-0.2481803436212766,validation
2019-08-07,844,0.3933723278400822,0.4528993297324681,validation
2019-08-08,884,-0.23193212370084026,-0.2743877007179335,validation
2019-08-09,917,-0.437793907736557,-0.44824142753093327,validation
2019-08-12,962,-0.04311290891401671,-0.11287616606861185,validation
2019-08-13,970,-0.41263908619032647,-0.44304959604522703,validation
2019-08-14,964,0.08703828268285305,0.152715858542663,validation
2019-08-15,963,0.3580589129241145,0.3981817539712019,validation
2019-08-16,965,0.4640609065835066,0.47544574201626866,validation
2019-08-19,967,-0.08333896474738839,-0.09808593421919785,validation
2019-08-20,963,0.27009171280240607,0.3140873368748707,validation
2019-08-21,956,-0.04558217048125542,-0.09537142305728402,validation
2019-08-22,954,-0.08873241187788716,-0.1505268639778819,validation
2019-08-23,961,0.3330240446651973,0.37011520731686176,validation
2019-08-26,966,0.0010855845051975597,-0.06285810525425693,validation
2019-08-27,968,-0.033279270591553244,-0.049293247486058865,validation
2019-08-28,954,0.32387054071237625,0.35289856782551055,validation
2019-08-29,952,-0.06891925797896416,-0.1266681684739606,validation
2019-08-30,951,0.13481376310150092,0.11709253076433206,validation
2019-09-03,961,0.30221691003668927,0.3441449724108877,validation
2019-09-04,959,0.11938849713623878,0.12168566900589366,validation
2019-09-05,948,0.019327139276132062,0.004452015006807257,validation
2019-09-06,949,0.06331166930567311,0.08829317611035187,validation
2019-09-09,951,-0.06915638956829179,-0.055778607596694965,validation
2019-09-10,957,0.09271926722657363,0.1267345467319109,validation
2019-09-11,958,-0.04861345969902102,-0.029763167982869865,validation
2019-09-12,958,0.11622463937261365,0.1410237215694985,validation
2019-09-13,961,-0.11735883849426625,-0.13974723936808414,validation
2019-09-16,962,-0.19973401359706155,-0.21768173390366413,validation
2019-09-17,964,0.13274896513083603,0.07408023191888559,validation
2019-09-18,961,0.03402623213766884,0.014711113075425126,validation
2019-09-19,962,0.028871489148563783,0.003976692201284708,validation
2019-09-20,965,-0.03913182865666172,-0.08199674410671834,validation
2019-09-23,967,-0.01855043956412794,0.010931481635492221,validation
2019-09-24,964,0.010660604330281171,0.0051487650826815695,validation
2019-09-25,962,-0.09650577106408167,-0.11790886281553993,validation
2019-09-26,962,0.03531897969934462,0.02686773308835946,validation
2019-09-27,962,0.042903728769188944,0.08001227314476693,validation
2019-09-30,966,0.15155163390229606,0.1522211217825924,validation
2019-10-01,965,-0.2491017214693265,-0.30417525911120646,validation
2019-10-02,964,-0.2988090409064573,-0.3195017812578885,validation
2019-10-03,964,0.057950149040093775,0.054707176122773364,validation
2019-10-04,970,-0.011607181932325735,-0.004221232431638793,validation
2019-10-07,970,-0.11791300656225011,-0.1516369769627737,validation
2019-10-08,971,0.3629999419220046,0.4082712721401108,validation
2019-10-09,969,-0.19392080897687908,-0.22509536307818578,validation
2019-10-10,970,0.07858116260015839,0.07608690009858678,validation
2019-10-11,971,-0.04819953853786418,-0.05237205122608436,validation
2019-10-14,963,0.08126705030258322,0.16059535817064108,validation
2019-10-15,949,0.01534464387287666,0.003665142440909885,validation
2019-10-16,923,0.06704164484502148,0.05481853035076492,validation
2019-10-17,914,-0.006617587009759799,0.028353426083888356,validation
2019-10-18,922,0.22811915873470487,0.2636687476834279,validation
2019-10-21,911,0.11055720050967423,0.05150159800442066,validation
2019-10-22,879,-0.09647310200246788,-0.08730434715773878,validation
2019-10-23,802,0.2715553003224445,0.23666694597396923,validation
2019-10-24,797,-0.010559633023007402,-0.009130840202664038,validation
2019-10-25,839,0.24311814885282684,0.27733419159557154,validation
2019-10-28,859,0.154918001123482,0.13402679647820614,validation
2019-10-29,837,0.15845929114542806,0.12444434448568935,validation
2019-10-30,742,0.13641954483499064,0.16204018174128496,validation
2019-10-31,756,0.09332550848730034,0.15612675405295479,validation
2019-11-01,810,0.01636709159285435,0.051680885155662534,validation
2019-11-04,873,0.1211056536069526,0.17509083554766508,validation
2019-11-05,872,-0.055426717625639735,-0.08993475983542318,validation
2019-11-06,823,0.1104996947767916,0.12218415129834381,validation
2019-11-07,848,-0.027380585129918752,-0.01310286183305605,validation
2019-11-08,891,-0.17863721771177438,-0.20377538948006685,validation
2019-11-11,941,0.09074967428595629,0.07021855369463527,validation
2019-11-12,962,0.13178951805659422,0.1504477150798786,validation
2019-11-13,959,-0.007568725175780841,-0.04288449683496907,validation
2019-11-14,963,0.1879037215090923,0.2255107925887086,validation
2019-11-15,966,-0.06485040683907352,-0.04644281830408845,validation
2019-11-18,961,0.14089970596536738,0.20294234581585469,validation
2019-11-19,961,0.05110411123508194,0.029275382184059368,validation
2019-11-20,955,0.03051809284351588,0.09861419628700416,validation
2019-11-21,955,0.06688236182679655,0.08321440189214653,validation
2019-11-22,956,0.11808235845779122,0.11686523212771241,validation
2019-11-25,947,0.10488981232167202,0.12225006127683812,validation
2019-11-26,950,-0.0003869080748861046,0.015942751013275188,validation
2019-11-27,949,-0.025658302238684916,-0.07443739145166052,validation
2019-11-29,962,0.06893987354737989,0.07283186633522243,validation
2019-12-02,963,-0.05923876140636316,-0.0773450048482828,validation
2019-12-03,960,0.3923478592126578,0.4350600730761252,validation
2019-12-04,949,0.133321470785714,0.17952242055721446,validation
2019-12-05,943,0.24533608613207272,0.25807306395398916,validation
2019-12-06,946,-0.15003229899108553,-0.20127834769751599,validation
2019-12-09,946,0.06604539189055628,0.03230810275280228,validation
2019-12-10,953,-0.018624217025254977,0.03965980212846549,validation
2019-12-11,951,0.057669258380713795,0.05740781138602611,validation
2019-12-12,951,0.06602413102175843,0.046152755632171555,validation
2019-12-13,955,0.06387153796495526,0.03798654631627585,validation
2019-12-16,957,0.04684668195782325,0.04223627702061935,validation
2019-12-17,960,0.07563269920199132,0.06773330112120107,validation
2019-12-18,955,0.04990431918346082,0.041912330329803814,validation
2019-12-19,955,0.030698743029980786,0.03193354448352683,validation
2019-12-20,959,0.09198492002182382,0.10098553306839841,validation
2019-12-23,973,0.04914170872501217,0.06472885496992443,validation
2019-12-24,977,0.07383131769074427,0.07062774302640878,validation
2019-12-26,977,0.02110795405277947,0.0418935347645067,validation
2019-12-27,976,0.14461902786248496,0.19676540160478248,validation
2019-12-30,975,-0.19355118618209774,-0.1809477244843662,validation
