date,n_long,n_short,gross_exposure,ret_gross,ret_net,cost_commission,cost_slippage,cost_borrow,turnover,max_pos,mean_pos
2020-10-30,15,15,0.9969367976875161,-0.001579910276839504,-0.001991626023309967,9.96936797687516e-05,0.00029908103930625484,1.2941027395456477e-05,0.9969367976875161,44844371.355000004,8307806.647395967
2020-11-02,16,16,0.27405109654209603,-7.201382046224573e-05,-0.00018691178039196427,2.74051096542096e-05,8.22153289626288e-05,5.277521312880127e-06,0.27405109654209603,7272225.125,2141024.191735125
2020-11-03,17,17,1.0,0.001716750571992725,0.0013083642402722045,0.0001,0.0003,8.386331720520633e-06,1.0,74246924.122,7352941.176470588
2020-11-04,16,16,0.2582141401042,0.001391807029937048,0.0012860174134871189,2.582141401042e-05,7.746424203126e-05,2.5039604082492064e-06,0.2582141401042,5194852.575,2017297.9695640625
2020-11-05,15,15,1.0000000000000002,0.005224508206197487,0.004815554713329998,0.00010000000000000002,0.0003,8.953492867488891e-06,1.0000000000000002,28104731.130456254,8333333.333333333
2020-11-06,16,16,1.0,-0.003923192044297624,-0.004334670852503751,0.0001,0.0003,1.1478808206126985e-05,1.0,14068261.229607143,7812500.0
2020-11-09,17,17,1.0,0.006298028614747497,0.005881883878514743,0.0001,0.0003,1.6144736232753968e-05,1.0,26943196.370191664,7352941.176470587
2020-11-10,19,19,0.9999999999999999,0.0020801776785690216,0.0016667305889077953,0.0001,0.0002999999999999999,1.3447089661226455e-05,0.9999999999999999,8517743.823002083,6578947.368421051
2020-11-11,19,19,0.9999999999999998,0.004028470468553971,0.0035914794867727743,9.999999999999999e-05,0.00029999999999999987,3.6990981781196824e-05,0.9999999999999998,32117351.169713736,6578947.368421052
2020-11-12,19,19,0.30696900796843796,0.0006594502988954243,0.0005286618755366264,3.06969007968438e-05,9.209070239053138e-05,8.000820171422524e-06,0.30696900796843796,7391697.630555351,2019532.9471607758
2020-11-13,19,19,0.9999999999999998,0.00733600044991518,0.006921598105807329,9.999999999999999e-05,0.00029999999999999987,1.440234410785079e-05,0.9999999999999998,19989988.661640618,6578947.368421051
2020-11-16,19,19,0.9999999999999998,0.012703957166059113,0.01229571086071816,9.999999999999999e-05,0.00029999999999999987,8.24630534095238e-06,0.9999999999999998,14057897.321349988,6578947.368421052
2020-11-17,19,19,1.0000000000000002,-0.001040144006778773,-0.0014655257776928685,0.00010000000000000002,0.0003,2.5381770914095496e-05,1.0000000000000002,10706300.833048003,6578947.368421055
2020-11-18,19,19,0.9999999999999999,0.0010646204687394226,0.0006530474581333051,0.0001,0.0002999999999999999,1.1573010606117461e-05,0.9999999999999999,22302548.351715624,6578947.368421051
2020-11-19,19,19,0.9999999999999998,0.0032447952428979535,0.0028078047892955596,9.999999999999999e-05,0.00029999999999999987,3.699045360239365e-05,0.9999999999999998,18954384.84642393,6578947.368421051
2020-11-20,19,19,1.0,-0.003034151878426426,-0.003463779629605766,0.0001,0.0003,2.962775117933968e-05,1.0,18575413.410020314,6578947.3684210535
2020-11-23,19,19,0.9303746776616337,0.004317996601849699,0.0039380760997337625,9.303746776616338e-05,0.0002791124032984901,7.77063105128281e-06,0.9303746776616337,27006241.55,6120886.037247591
2020-11-24,19,19,1.0,0.0014209638381937836,0.0010079629902937201,0.0001,0.0003,1.3000847900063493e-05,1.0,10526600.038740626,6578947.3684210535
2020-11-25,19,19,1.0,0.005501189158930687,0.005091317026775985,0.0001,0.0003,9.872132154702496e-06,1.0,7621520.359141072,6578947.3684210535
2020-11-27,19,19,1.0000000000000002,0.004321903802400552,0.003910860546085002,0.00010000000000000002,0.0003,1.1043256315549208e-05,1.0000000000000002,11726377.481150001,6578947.368421054
2020-11-30,19,19,1.0,-0.0014216033131238446,-0.0018677596583301316,0.0001,0.0003,4.6156345206286906e-05,1.0,16971744.187231246,6578947.368421052
2020-12-01,19,19,1.0,0.0037574994673740918,0.0033367291699775885,0.0001,0.0003,2.077029739650323e-05,1.0,9492889.097101362,6578947.3684210535
2020-12-02,19,19,1.0,0.00555553026845384,0.005146530850414476,0.0001,0.0003,8.999418039365078e-06,1.0,20433050.724262618,6578947.368421053
2020-12-03,19,19,1.0,0.0011986619155854843,0.0007907254076489765,0.0001,0.0003,7.936507936507936e-06,1.0,15052626.826254167,6578947.3684210535
2020-12-04,19,19,1.0,0.00011057843439250207,-0.0002979535585382916,0.0001,0.0003,8.53199293079365e-06,1.0,11618962.369622221,6578947.3684210535
2020-12-07,19,19,0.9999999999999999,0.00626359494221542,0.0058538404848014515,0.0001,0.0002999999999999999,9.754457413968253e-06,0.9999999999999999,13099147.821830623,6578947.368421053
2020-12-08,19,19,0.9999999999999997,0.0015512440611231287,0.0011173755659749723,9.999999999999996e-05,0.00029999999999999987,3.3868495148156724e-05,0.9999999999999997,11218435.076393742,6578947.368421051
2020-12-09,19,19,0.9999999999999998,0.0038085100779616968,0.0033992126802366955,9.999999999999999e-05,0.00029999999999999987,9.297397725001585e-06,0.9999999999999998,8969187.854591666,6578947.368421051
2020-12-10,19,19,0.9999999999999998,0.0013616021236420976,0.0009498277368115947,9.999999999999999e-05,0.00029999999999999987,1.177438683050317e-05,0.9999999999999998,12376730.997464282,6578947.368421051
2020-12-11,19,19,0.9999999999999999,0.00030852473492205796,-0.00010223814416044041,0.0001,0.0002999999999999999,1.0762879082498413e-05,0.9999999999999999,13588079.375037499,6578947.368421053
2020-12-14,19,19,0.9999999999999999,0.0007864139062051056,0.00037705141358237553,0.0001,0.0002999999999999999,9.362492622730156e-06,0.9999999999999999,20335834.670256246,6578947.368421053
